source,target,source_coordinates,target_coordinates,shared_keywords,source_institution,target_institution
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"product manager,focus group,software as a service,delphi study,release planning,cloud computing,global software development",Universidad de Salamanca,Universidad Carlos III de Madrid
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,soa,free software,oki,software as a service,e-learning,elearning,open source,ims lti,ple,open standards,google docs,cloud computing,moodle,sakai",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,soa,free software,oki,software as a service,e-learning,elearning,open source,ims lti,ple,open standards,google docs,cloud computing,moodle,sakai",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Massachusetts Institute of Technology
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,University of Salamanca
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Free Knowledge Institute
Francisco J. García-Peñalvo,Charles Severance,POINT (-5.6640182 40.9651572),POINT (-83.7484616 42.2813722),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,University of Michigan
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Felix Schmitz,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Rainer Hofer,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Ulrich Woermann,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Eduardo Fernández-Medina,POINT (-5.6640182 40.9651572),POINT (-3.9285138 38.9854201),cloud computing,Universidad de Salamanca,University of Castilla-La Mancha
Francisco J. García-Peñalvo,Oscar Rebollo,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Ministry of Labour and Immigration
Francisco J. García-Peñalvo,Daniel Mellado,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Rey Juan Carlos University
Francisco J. García-Peñalvo,Marijana Despotović-Zrakić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Dusan Barać,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Zorica Bogdanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Branislav Jovanić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Božidar Radenković,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Marc Alier Forment,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Patricia Ordóñez de Pablos,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo
Francisco J. García-Peñalvo,David Griffiths,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Mark Johnson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,University of Bolton
Francisco J. García-Peñalvo,Kris Popat,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Paul Sharples,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Scott Wilson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Ricardo Queirós,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"e-learning,interoperability",Universidad de Salamanca,CRACS & INESC-Porto LA & DI-ESEIG/IPP
Francisco J. García-Peñalvo,José Paulo Leal,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"e-learning,interoperability",Universidad de Salamanca,University of Porto
Francisco J. García-Peñalvo,María José Casany,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Nikolas Galanis,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Anton Joha,POINT (-5.6640182 40.9651572),POINT (-0.1277653 51.5074456),"cloud computing,software as a service",Universidad de Salamanca,EquaTerra
Francisco J. García-Peñalvo,Marijn Janssen,POINT (-5.6640182 40.9651572),POINT (4.362724538543995 51.999457199999995),"cloud computing,software as a service",Universidad de Salamanca,Delft University of Technology
Francisco J. García-Peñalvo,Eduardo Fernandes,POINT (-5.6640182 40.9651572),POINT (-46.6333824 -23.5506507),"cloud computing,software as a service",Universidad de Salamanca,Meta4
Francisco J. García-Peñalvo,Marc Sabbagh,POINT (-5.6640182 40.9651572),POINT (2.2890454 48.9105948),"cloud computing,software as a service",Universidad de Salamanca,Universidad Carlos III de Madrid
Francisco J. García-Peñalvo,Miloš Milovanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),"open source,interoperability",Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Miroslav Minović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),"open source,interoperability",Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Starčević Dušan,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),"open source,interoperability",Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Miguel García Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo
Francisco J. García-Peñalvo,Jose María Alvarez Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo
Francisco J. García-Peñalvo,Diego Berrueta Muñoz,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422),"interoperability,cloud computing",Universidad de Salamanca,Fundacion CTIC
Francisco J. García-Peñalvo,Luis Polo Paredes,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422),"interoperability,cloud computing",Universidad de Salamanca,Fundacion CTIC
Francisco J. García-Peñalvo,Jose Emilio Labra Gayo,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo
Francisco J. García-Peñalvo,Thijs Baars,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006),cloud computing,Universidad de Salamanca,Utrecht University
Francisco J. García-Peñalvo,Marco Spruit,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006),cloud computing,Universidad de Salamanca,Utrecht University
Francisco J. García-Peñalvo,David Griol,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid
Francisco J. García-Peñalvo,José Manuel Molina,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid
Francisco J. García-Peñalvo,Araceli Sanchis de Miguel,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid
Francisco J. García-Peñalvo,Zoraida Callejas,POINT (-5.6640182 40.9651572),POINT (-3.5995337 37.1734995),e-learning,Universidad de Salamanca,University of Granada
Francisco J. García-Peñalvo,Alok Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759),global software development,Universidad de Salamanca,Atilim University Incek
Francisco J. García-Peñalvo,Deepti Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759),global software development,Universidad de Salamanca,Atilim University Incek
Francisco J. García-Peñalvo,Pedro Soto-Acosta,POINT (-5.6640182 40.9651572),POINT (-1.1305431 37.9923795),"product manager,focus group,delphi study,release planning,global software development",Universidad de Salamanca,Universidad de Murcia
Francisco J. García-Peñalvo,Ángel García-Crespo,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"product manager,focus group,delphi study,release planning,global software development",Universidad de Salamanca,Universidad Carlos III de Madrid
Francisco J. García-Peñalvo,Gislaine Camila Lapasini Leal,POINT (-5.6640182 40.9651572),POINT (-51.9382078 -23.425269),global software development,Universidad de Salamanca,State University of Maringa
Francisco J. García-Peñalvo,Ana Paula Chaves,POINT (-5.6640182 40.9651572),POINT (-52.37802 -24.046329),global software development,Universidad de Salamanca,Federal Technological University of Parana
Francisco J. García-Peñalvo,Elisa Hatsue Moriya Huzita,POINT (-5.6640182 40.9651572),POINT (-51.9382078 -23.425269),global software development,Universidad de Salamanca,State University of Maringa
Francisco J. García-Peñalvo,Marcio Eduardo Delamaro,POINT (-5.6640182 40.9651572),POINT (-47.891154 -22.0180395),global software development,Universidad de Salamanca,University of Sao Paulo
Ricardo Colomo-Palacios,Marc Alier,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),software as a service,Universidad Carlos III de Madrid,Universitat Politècnica de Catalunya - Barcelona Tech
Ricardo Colomo-Palacios,Enric Mayol,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"cloud computing,software as a service",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Ricardo Colomo-Palacios,Maria Jose Casañ,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),software as a service,Universidad Carlos III de Madrid,Universitat Politècnica de Catalunya - Barcelona Tech
Ricardo Colomo-Palacios,Jordi Piguillem,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"cloud computing,software as a service",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Ricardo Colomo-Palacios,Jeffrey W. Merriman,POINT (-3.76527 40.3281942),POINT (0.1186637 52.2055314),software as a service,Universidad Carlos III de Madrid,Massachusetts Institute of Technology
Ricardo Colomo-Palacios,Miguel Ángel Conde,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572),software as a service,Universidad Carlos III de Madrid,University of Salamanca
Ricardo Colomo-Palacios,Wouter Tebben,POINT (-3.76527 40.3281942),POINT (4.8924534 52.3730796),software as a service,Universidad Carlos III de Madrid,Free Knowledge Institute
Ricardo Colomo-Palacios,Charles Severance,POINT (-3.76527 40.3281942),POINT (-83.7484616 42.2813722),software as a service,Universidad Carlos III de Madrid,University of Michigan
Ricardo Colomo-Palacios,Eduardo Fernández-Medina,POINT (-3.76527 40.3281942),POINT (-3.9285138 38.9854201),cloud computing,Universidad Carlos III de Madrid,University of Castilla-La Mancha
Ricardo Colomo-Palacios,Oscar Rebollo,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047),cloud computing,Universidad Carlos III de Madrid,Ministry of Labour and Immigration
Ricardo Colomo-Palacios,Daniel Mellado,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047),cloud computing,Universidad Carlos III de Madrid,Rey Juan Carlos University
Ricardo Colomo-Palacios,Marc Alier Forment,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"cloud computing,software as a service",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Ricardo Colomo-Palacios,Patricia Ordóñez de Pablos,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo
Ricardo Colomo-Palacios,María José Casany,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"cloud computing,software as a service",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Ricardo Colomo-Palacios,Nikolas Galanis,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572),"cloud computing,software as a service",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Ricardo Colomo-Palacios,Anton Joha,POINT (-3.76527 40.3281942),POINT (-0.1277653 51.5074456),"cloud computing,software as a service",Universidad Carlos III de Madrid,EquaTerra
Ricardo Colomo-Palacios,Marijn Janssen,POINT (-3.76527 40.3281942),POINT (4.362724538543995 51.999457199999995),"cloud computing,software as a service",Universidad Carlos III de Madrid,Delft University of Technology
Ricardo Colomo-Palacios,Eduardo Fernandes,POINT (-3.76527 40.3281942),POINT (-46.6333824 -23.5506507),"software vendors,cloud computing,information systems development,software as a service",Universidad Carlos III de Madrid,Meta4
Ricardo Colomo-Palacios,Marc Sabbagh,POINT (-3.76527 40.3281942),POINT (2.2890454 48.9105948),"software vendors,cloud computing,information systems development,software as a service",Universidad Carlos III de Madrid,Universidad Carlos III de Madrid
Ricardo Colomo-Palacios,Miguel García Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo
Ricardo Colomo-Palacios,Jose María Alvarez Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo
Ricardo Colomo-Palacios,Diego Berrueta Muñoz,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422),cloud computing,Universidad Carlos III de Madrid,Fundacion CTIC
Ricardo Colomo-Palacios,Luis Polo Paredes,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422),cloud computing,Universidad Carlos III de Madrid,Fundacion CTIC
Ricardo Colomo-Palacios,Jose Emilio Labra Gayo,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo
Ricardo Colomo-Palacios,Thijs Baars,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006),cloud computing,Universidad Carlos III de Madrid,Utrecht University
Ricardo Colomo-Palacios,Marco Spruit,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006),cloud computing,Universidad Carlos III de Madrid,Utrecht University
Ricardo Colomo-Palacios,Alok Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759),global software development,Universidad Carlos III de Madrid,Atilim University Incek
Ricardo Colomo-Palacios,Deepti Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759),global software development,Universidad Carlos III de Madrid,Atilim University Incek
Ricardo Colomo-Palacios,Pedro Soto-Acosta,POINT (-3.76527 40.3281942),POINT (-1.1305431 37.9923795),"product manager,focus group,delphi study,release planning,global software development",Universidad Carlos III de Madrid,Universidad de Murcia
Ricardo Colomo-Palacios,Ángel García-Crespo,POINT (-3.76527 40.3281942),POINT (-3.76527 40.3281942),"product manager,focus group,delphi study,release planning,global software development",Universidad Carlos III de Madrid,Universidad Carlos III de Madrid
Ricardo Colomo-Palacios,Gislaine Camila Lapasini Leal,POINT (-3.76527 40.3281942),POINT (-51.9382078 -23.425269),global software development,Universidad Carlos III de Madrid,State University of Maringa
Ricardo Colomo-Palacios,Ana Paula Chaves,POINT (-3.76527 40.3281942),POINT (-52.37802 -24.046329),global software development,Universidad Carlos III de Madrid,Federal Technological University of Parana
Ricardo Colomo-Palacios,Elisa Hatsue Moriya Huzita,POINT (-3.76527 40.3281942),POINT (-51.9382078 -23.425269),global software development,Universidad Carlos III de Madrid,State University of Maringa
Ricardo Colomo-Palacios,Marcio Eduardo Delamaro,POINT (-3.76527 40.3281942),POINT (-47.891154 -22.0180395),global software development,Universidad Carlos III de Madrid,University of Sao Paulo
Valentina Gatteschi,Fabrizio Lamberti,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Politecnico di Torino
Valentina Gatteschi,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Politecnico di Torino
Valentina Gatteschi,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,KCH International
Valentina Gatteschi,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto
Valentina Gatteschi,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088),ontology,Politecnico di Torino,King Abdulaziz University
Valentina Gatteschi,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Valentina Gatteschi,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Valentina Gatteschi,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs)
Valentina Gatteschi,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Valentina Gatteschi,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Valentina Gatteschi,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Fabrizio Lamberti,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Politecnico di Torino
Fabrizio Lamberti,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,KCH International
Fabrizio Lamberti,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto
Fabrizio Lamberti,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088),ontology,Politecnico di Torino,King Abdulaziz University
Fabrizio Lamberti,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Fabrizio Lamberti,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Fabrizio Lamberti,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs)
Fabrizio Lamberti,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Fabrizio Lamberti,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Fabrizio Lamberti,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Claudio Demartini,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,KCH International
Claudio Demartini,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto
Claudio Demartini,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088),ontology,Politecnico di Torino,King Abdulaziz University
Claudio Demartini,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Claudio Demartini,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879),ontology,Politecnico di Torino,Ain Shams University
Claudio Demartini,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs)
Claudio Demartini,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Claudio Demartini,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Claudio Demartini,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707),ontology,Politecnico di Torino,Shanghai Jiao Tong University
Rob van Wezel,Simonetta Bettiol,POINT (-2.671522203148835 54.605648099999996),POINT (12.3345898 45.4371908),"lifelong learning,qualifications,ontology,taxonomy,semantic engine",KCH International,Ufficio Scolastico Regionale per il Veneto
Rob van Wezel,Tarek F. Gharib,POINT (-2.671522203148835 54.605648099999996),POINT (39.1653612 21.5810088),ontology,KCH International,King Abdulaziz University
Rob van Wezel,Nagwa Badr,POINT (-2.671522203148835 54.605648099999996),POINT (31.2357257 30.0443879),ontology,KCH International,Ain Shams University
Rob van Wezel,Shaimaa Haridy,POINT (-2.671522203148835 54.605648099999996),POINT (31.2357257 30.0443879),ontology,KCH International,Ain Shams University
Rob van Wezel,Ajith Abraham,POINT (-2.671522203148835 54.605648099999996),POINT (-1.57027 55.1832364),ontology,KCH International,Machine Intelligence Research Labs (MIR Labs)
Rob van Wezel,Hongming Cai,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707),ontology,KCH International,Shanghai Jiao Tong University
Rob van Wezel,Boyi Xu,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707),ontology,KCH International,Shanghai Jiao Tong University
Rob van Wezel,Fenglin Bu,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707),ontology,KCH International,Shanghai Jiao Tong University
Simonetta Bettiol,Tarek F. Gharib,POINT (12.3345898 45.4371908),POINT (39.1653612 21.5810088),ontology,Ufficio Scolastico Regionale per il Veneto,King Abdulaziz University
Simonetta Bettiol,Nagwa Badr,POINT (12.3345898 45.4371908),POINT (31.2357257 30.0443879),ontology,Ufficio Scolastico Regionale per il Veneto,Ain Shams University
Simonetta Bettiol,Shaimaa Haridy,POINT (12.3345898 45.4371908),POINT (31.2357257 30.0443879),ontology,Ufficio Scolastico Regionale per il Veneto,Ain Shams University
Simonetta Bettiol,Ajith Abraham,POINT (12.3345898 45.4371908),POINT (-1.57027 55.1832364),ontology,Ufficio Scolastico Regionale per il Veneto,Machine Intelligence Research Labs (MIR Labs)
Simonetta Bettiol,Hongming Cai,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707),ontology,Ufficio Scolastico Regionale per il Veneto,Shanghai Jiao Tong University
Simonetta Bettiol,Boyi Xu,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707),ontology,Ufficio Scolastico Regionale per il Veneto,Shanghai Jiao Tong University
Simonetta Bettiol,Fenglin Bu,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707),ontology,Ufficio Scolastico Regionale per il Veneto,Shanghai Jiao Tong University
Santi Caballe,David Ganan,POINT (2.1774322 41.3828939),POINT (2.1774322 41.3828939),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,Open University of Catalonia
Santi Caballe,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,Coventry University
Santi Caballe,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,"Modelli Matematici e Applicazioni (MoMA, SpA)"
Santi Caballe,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,University of the Aegean
David Ganan,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,Coventry University
David Ganan,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,"Modelli Matematici e Applicazioni (MoMA, SpA)"
David Ganan,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Open University of Catalonia,University of the Aegean
Ian Dunwell,Anna Pierri,POINT (-1.510477 52.4081812),POINT (14.7699874 40.7469385),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Coventry University,"Modelli Matematici e Applicazioni (MoMA, SpA)"
Ian Dunwell,Thanasis Daradoumis,POINT (-1.510477 52.4081812),POINT (26.554788 39.1037355),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions",Coventry University,University of the Aegean
Anna Pierri,Thanasis Daradoumis,POINT (14.7699874 40.7469385),POINT (26.554788 39.1037355),"collaborative learning,virtualized collaborative sessions,collaborative complex learning objects,on-line discussions","Modelli Matematici e Applicazioni (MoMA, SpA)",University of the Aegean
