Author,City,Institution,Keywords
Rafael Tornero,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']"
Juan Manuel Orduñna,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']"
Vincenzo Catania,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']"
Daniela Panno,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']"
Jason J. Jung,Gyeongsan,Yeungnam University,[]
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[]
Wilas Chamlertwat,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']"
Pattarasinee Bhattarakosol,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']"
Tippakorn Rungkasiri,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']"
Choochart Haruechaiyasak,Pathumthani,National Electronics and Computer Technology Center,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']"
Mahalakshmi G. Suryanarayanan,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']"
Dilip S. Sam,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']"
Sendhilkumar Selvaraju,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']"
Xuan Hau Pham,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']"
Jason J. Jung,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']"
Dosam Hwang,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']"
Ting Ting Qin,Hiroshima,Hiroshima University,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']"
Satoshi Fujita,Hiroshima,Hiroshima University,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']"
Victor Ströele,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']"
Geraldo Zimbrão,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']"
Jano M. Souza,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']"
Daqiang Zhang,Nanjing,Nanjing Normal University,[]
Huansheng Ning,Beijing,Beihang University,[]
Kevin S. Xu,Changzhou,Changzhou University,[]
Feiyu Lin,Jönköping,Jönköping University,[]
Laurence T. Yang,Vancouver,St. Francis Xavier University,[]
Hongyu Huang,Chongqing,Chongqing University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']"
Daqiang Zhang,Nanjing,Nanjing Normal University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']"
Yanmin Zhu,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']"
Minglu Li,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']"
Min-You Wu,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']"
Feiyu Lin,Changzhou,Changzhou University,"['Internet of Things', 'context-aware computing', 'ontology matching']"
Kurt Sandkuhl,Rostock,Rostock University,"['Internet of Things', 'context-aware computing', 'ontology matching']"
Shoukun Xu,Changzhou,Changzhou University,"['Internet of Things', 'context-aware computing', 'ontology matching']"
Huansheng Ning,Beijing,Beihang University,"['Internet of things', 'security', 'authentication protocol', 'directed path']"
Hong Liu,Beijing,Beihang University,"['Internet of things', 'security', 'authentication protocol', 'directed path']"
Qing Liu,Nanjing,Nanjing Normal University,"['Internet of things', 'security', 'authentication protocol', 'directed path']"
Genlin Ji,Nanjing,Nanjing Normal University,"['Internet of things', 'security', 'authentication protocol', 'directed path']"
Jian Chen,Tokorozawa,Waseda University,[]
Qun Jin,Tokorozawa,Waseda University,[]
Runhe Huang,Tokyo,Hosei University,[]
Bratislav Predic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']"
Dragan Stojanovic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']"
Xingang Liu,Chengdu,University of Electronic Science and Technology of China,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']"
Jiantan Liu,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']"
Kook-Yeol Yoo,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']"
Haengrae Cho,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']"
Qiang Liu,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']"
Min Chen,Seoul,Seoul National University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']"
Jie Zhang,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']"
Bingwen Shen,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']"
Zhong Chu,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']"
Xiaojun Qian,Nanjing,Nanjing Normal University,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']"
Xiaoping Che,Paris,Evry University,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']"
Christian Gütl,Graz,Graz University of Technology,[]
Robert Bucki,Bielsko-Biała,The College of Informatics and Management in Bielsko-Biała,[]
Petr Suchanek,Opava,Silesian University in Opava,[]
Marijana Despotović-Zrakić,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']"
Dusan Barać,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']"
Zorica Bogdanović,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']"
Branislav Jovanić,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']"
Božidar Radenković,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']"
Rafael Duque,Santander,University of Cantabria,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']"
Lars Bollen,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']"
Anjo Anjewierden,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']"
Crescencio Bravo,Ciudad Real,University of Castilla-La Mancha,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']"
Jens Hellmers,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']"
Jörg Thomaschewski,Emden,University of Applied Sciences Emden/Leer,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']"
Eva-Maria Holt,Ratingen,(SEVEN PRINCIPLES,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']"
Thomas Wriedt,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']"
Marija Jovic,Belgrade,University of Belgrade,"['online product presentation', 'e-commerce', 'multimedia presentation']"
Dusan Milutinovic,Belgrade,Hemofarm Group,"['online product presentation', 'e-commerce', 'multimedia presentation']"
Anton Kos,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']"
Saso Tomazic,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']"
Ester Martínez-Martín,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']"
M. Teresa Escrig,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']"
Angel P. del Pobil,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']"
Cao Mukun,Xiamen,Xiamen University,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']"
Melody Y. Kiang,Long Beach,California State University,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']"
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,[]
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,[]
Miltiadis D. Lytras,Gerakas,The American College of Greece,[]
Jordán Pascual Espada,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']"
Oscar Sanjuán Martínez,Madrid,University Carlos III of Madrid,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']"
B. Cristina Pelayo G-Bustelo,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']"
Juan Manuel Cueva Lovelle,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']"
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']"
David Griffiths,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']"
Mark Johnson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']"
Kris Popat,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']"
Paul Sharples,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']"
Scott Wilson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']"
Ricardo Queirós,Porto,CRACS & INESC-Porto LA & DI-ESEIG/IPP,"['e-Learning', 'interoperability', 'service oriented architectures']"
José Paulo Leal,Porto,University of Porto,"['e-Learning', 'interoperability', 'service oriented architectures']"
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
María José Casany,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
Enric Mayol,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
Jordi Piguillem,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
Nikolas Galanis,Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
Francisco J. García-Peñalvo,Salamanca,(USAL Universidad de Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']"
Anton Joha,London,EquaTerra,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']"
Marijn Janssen,Delft,Delft University of Technology,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']"
Yung Bok Kim,Seoul,Sejong University,"['Social Web', 'name card', 'QoS', 'utilization level', 'serviceability', 'cloud', 'SNS']"
Ricardo Colomo-Palacios,Madrid,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']"
Eduardo Fernandes,Sao Paulo,Meta4,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']"
Marc Sabbagh,Asnières sur Seine,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']"
Miloš Milovanović,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']"
Miroslav Minović,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']"
Starčević Dušan,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']"
Miguel García Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Jose María Alvarez Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Diego Berrueta Muñoz,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Luis Polo Paredes,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Jose Emilio Labra Gayo,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']"
Daniel Mellado,Madrid,Rey Juan Carlos University,[]
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[]
Haralambos Mouratidis,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']"
Christos Kalloniatis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']"
Shareeful Islam,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']"
Marc-Philippe Huget,Annecy-Chambéry,University of Savoie,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']"
Stefanos Gritzalis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']"
Rahul Rastogi,Port Elizabeth,Nelson Mandela Metropolitan University,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']"
Rossouw von Solms,Port Elizabeth,Nelson Mandela Metropolitan University,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']"
Pedro Martinez-Julia,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']"
Antonio F. Gómez-Skarmeta,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']"
Thijs Baars,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']"
Marco Spruit,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']"
Reijo M. Savola,Oulu,VTT Technical Research Centre of Finland,"['security metrics', 'risk analysis', 'agile SW development']"
Christian Frühwirth,Espoo,Aalto University,"['security metrics', 'risk analysis', 'agile SW development']"
Ari Pietikäinen,Kirkkonummi,Ericsson Finland,"['security metrics', 'risk analysis', 'agile SW development']"
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']"
Luis Enrique Sánchez,Ciudad Real,SICAMAN NT.,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']"
Alberto Freitas,Porto,Universidade do Porto,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']"
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']"
Sipho Ngobeni,Pretoria,Council for Scientific and Industrial Research,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']"
Hein Venter,Pretoria,University of Pretoria,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']"
Ivan Burke,Pretoria,Council for Scientific and Industrial Research,"['wireless local area network', 'digital forensics', 'digital forensic readiness', 'access point', 'digital forensic process', 'cyber forensic experts', 'hash value', 'digital evidence', 'traffic']"
Lin Ding,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']"
Jie Guan,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']"
Wen-long Sun,Zhengzhou,Information Science and Technology Institute,"['cryptanalysis', 'related-key attack', 'distinguishing attack', 'Py-family of stream ciphers', 'TRCR-32', 'TRCR-64']"
Atulya K. Nagar,Liverpool,Liverpool Hope University,[]
T. Robinson,Chennai,Madras Christian College,[]
Susan Elias,Chennai,Sri Venkateswara College of Engineering,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']"
Vanaja Gokul,Chennai,Sri Venkateswara College of Engineering,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']"
Kamala Krithivasan,Chennai,Indian Institute of Technology Madras,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']"
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']"
Gexiang Zhang,Sichuan,Southwest Jiaotong University,"['membrane computing', 'distributed P systems', 'particle swarm optimisation', 'cross layer optimisation']"
Yunyun Niu,Wuhan,Huazhong University of Science and Technology,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']"
Jinbang Xu,Wuhan,Huazhong University of Science and Technology,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']"
K.G. Subramanian,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']"
Rosni Abdullah,Penang,Universiti Sains Malaysia,"['membrane computing', 'P system', 'shuffle on trajectories', 'picture language']"
A.S. Prasanna Venkatesan,Chennai,B.S. Abdur Rahman University,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']"
D.G. Thomas,India,Madras Christian College,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']"
T. Robinson,Liverpool,Madras Christian College,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']"
Gexiang Zhang,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Fen Zhou,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Xiaoli Huang,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Jixiang Cheng,Chengdu,Southwest Jiaotong University,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Marian Gheorghe,Sheffield,University of Sheffield,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Florentin Ipate,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Raluca Lefticaru,Pitesti,University of Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']"
Kusum Deep,Roorkee,Indian Institute of Technology Roorkee,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']"
Jagdish Chand Bansal,Gwalior,ABV-Indian Institute of Information Technology and Management Gwalior,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']"
Musrrat Ali,Suwon,Sungkyunkwan University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']"
Millie Pant,Saharanpur,Indian Institute of Technology Roorkee,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']"
Atulya K. Nagar,Liverpool,Liverpool Hope University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']"
Chang Wook Ahn,Suwon,Sungkyunkwan University,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']"
Gurvinder Singh Baicher,Gwent,University of Wales Newport,"['optimization', 'quadrature mirror filter bank', 'genetic algorithms', 'IIR filters', 'multirate filter bank', 'real-time implementation', 'pulse code modulation', 'polyphase decomposition']"
Basabdatta Sen Bhattacharya,Lincoln,(University of Lincoln,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']"
Damien Coyle,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']"
Liam P. Maguire,Ulster,University of Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']"
Christian Gütl,Graz,Graz University of Technology,[]
Antonio L. Bajuelos,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']"
Santiago Canales,Madrid,Universidad Pontifícia Comillas de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']"
Gregorio Hernández,Madrid,Universidad Politécnica de Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']"
Mafalda Martins,Aveiro,University of Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']"
Alton Y.K. Chua,Singapore,Nanyang Technological University,"['m-learning', 'software project management', 'motivation', 'gaming']"
Radhika Shenoy Balkunje,Singapore,Nanyang Technological University,"['m-learning', 'software project management', 'motivation', 'gaming']"
Doron Drusinsky,Monterey,Naval Postgraduate School,"['Hidden Markov Models', 'UML', 'statecharts', 'monitoring', 'patterns', 'hidden data']"
Wojciech Frączek,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']"
Wojciech Mazurczyk,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']"
Krzysztof Szczypiorski,Warsaw,Warsaw University of Technology,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']"
Jörg Keller,Hagen,FernUniversität in Hagen,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']"
Christoph W. Kessler,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']"
Rikard Hultén,Linköping,Linköping Universitet,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']"
Alexander Meduna,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']"
Petr Zemek,Brno,Brno University of Technology,"['formal languages', 'pure grammar systems', 'controlled derivations']"
Efi Papatheocharous,Nicosia,University of Cyprus,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']"
Andreas S. Andreou,Lemesos,Cyprus University of Technology,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']"
Henna Suomi,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']"
Kalevi Kilkki,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']"
Heikki Hämmäinen,Espoo,Aalto University,"['multipath communication', 'path diversity', 'net benefit', 'end user']"
Carlos Delgado Kloos,Madrid,Universidad Carlos III de Madrid,[]
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,[]
Juan I. Asensio-Pérez,Valladolid,Universidad de Valladolid,[]
Henriikka Vartiainen,Savonlinna,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']"
Anu Liljeström,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']"
Jorma Enkenberg,Savonlina,University of Eastern Finland,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']"
Nikolaos Avouris,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']"
Nikoleta Yiannoutsou,Patras,University of Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']"
Stefaan Ternier,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']"
Roland Klemke,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']"
Marco Kalz,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']"
Patricia van Ulzen,Heerlen,Open University of the Netherlands,"['immersive learning games', 'augmented reality', 'augmented virtuality']"
Davinia Hernández-Leo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
Raul Nieves,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
Ernesto Arroyo,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
Andrea Rosales,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
Javier Melero,Barcelona,Universitat Pompeu Fabra,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']"
