Author,City,Institution,Keywords
Robert Sanders,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Vera Barracho,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Urban Lapajne,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Matej Rus,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Martin Rahe,Barcelona,EADA - Escuela de Alta Dirección y Administración,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Andre Mostert,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Thorsten Klein,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Viktorija Bojovic,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Saša Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Zita Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
João Carvalho,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Isabel Duarte,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Andreana Casaramona,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Alberto Soraci,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Marc Alier,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Enric Mayol,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Maria Jose Casañ,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Jordi Piguillem,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Jeffrey W. Merriman,Cambridge,Massachusetts Institute of Technology,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Miguel Ángel Conde,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Wouter Tebben,Amsterdam,Free Knowledge Institute,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
Charles Severance,Ann Arbor,University of Michigan,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']"
