source,target,source_location,target_location
"Lan, Shi-Chi","Barclay, Paul David",POINT (-87.6866 41.8375),POINT (-93.2678 44.9635)
"Lan, Shi-Chi","Ericson, Brenda A.",POINT (-87.6866 41.8375),POINT (-106.6465 35.1054)
"Lan, Shi-Chi","Manela, Erez",POINT (-87.6866 41.8375),POINT (-72.9246 41.3113)
"Shen, Zhijia","Wang, Dong",POINT (-87.6866 41.8375),POINT (-95.2642 38.9597)
"Choi, Wooseon","Vang, Pobzeb",POINT (-87.6866 41.8375),POINT (-104.8758 39.762)
"Choi, Wooseon","Hu, Wanli",POINT (-87.6866 41.8375),POINT (-72.51852 42.36723)
"Choi, Wooseon","Wang, Xiaodong",POINT (-87.6866 41.8375),POINT (-79.0391 35.9271)
"Choi, Wooseon","Yu, Yuegen",POINT (-87.6866 41.8375),POINT (-79.9464 39.6383)
"Van Fleit, Krista","Sun, Shao-yi",POINT (-87.6866 41.8375),POINT (-118.4068 34.1141)
"Wu, Rwei-Ren","Cheung, Siu-woo",POINT (-87.6866 41.8375),POINT (-122.3244 47.6211)
"Wu, Rwei-Ren","Yang, Fang-yen",POINT (-87.6866 41.8375),POINT (-89.393 43.0822)
"Vang, Pobzeb","Hayashi, Natsuko",POINT (-104.8758 39.762),POINT (-83.731 42.2759)
"Vang, Pobzeb","Wang, Xiaodong",POINT (-104.8758 39.762),POINT (-79.0391 35.9271)
"Butenhoff, Linda","Hayashi, Natsuko",POINT (-104.8758 39.762),POINT (-83.731 42.2759)
"Shih, Chi-Sheng","Kang, Lai-Yung",POINT (-87.6866 41.8375),POINT (-75.1339 40.0077)
"Guelcher, Gregory Paul","Hayashi, Natsuko",POINT (-88.2737 40.1142),POINT (-83.731 42.2759)
"Guelcher, Gregory Paul","Barclay, Paul David",POINT (-88.2737 40.1142),POINT (-93.2678 44.9635)
"Guelcher, Gregory Paul","Wang, Xiaodong",POINT (-88.2737 40.1142),POINT (-79.0391 35.9271)
"Guelcher, Gregory Paul","Bian, Linan",POINT (-88.2737 40.1142),POINT (-122.3244 47.6211)
"Qin, Yucheng","Kim, Jaeyoon",POINT (-91.5303 41.6559),POINT (-123.1174 44.0564)
"Tucker, David Vance","Kang, Lai-Yung",POINT (-91.5303 41.6559),POINT (-75.1339 40.0077)
"Liu, Ai-lian","Lai, Kuo-Sheng",POINT (-95.2642 38.9597),POINT (-76.9337 38.996)
"Hu, Wanli","Yu, Yuegen",POINT (-72.51852 42.36723),POINT (-79.9464 39.6383)
"Notar, Beth Ellen","Cheung, Siu-woo",POINT (-83.731 42.2759),POINT (-122.3244 47.6211)
"Sun, Laichen","Regavim, Ram Baruch",POINT (-83.731 42.2759),POINT (-75.1339 40.0077)
"Nakajima, Chieko","Fu, Jia-Chen",POINT (-83.731 42.2759),POINT (-72.9246 41.3113)
"Hayashi, Natsuko","Barclay, Paul David",POINT (-83.731 42.2759),POINT (-93.2678 44.9635)
"Hayashi, Natsuko","Ericson, Brenda A.",POINT (-83.731 42.2759),POINT (-106.6465 35.1054)
"Hayashi, Natsuko","Ye, Lin",POINT (-83.731 42.2759),POINT (-106.6465 35.1054)
"Hayashi, Natsuko","Wang, Xiaodong",POINT (-83.731 42.2759),POINT (-79.0391 35.9271)
"Barclay, Paul David","Ericson, Brenda A.",POINT (-93.2678 44.9635),POINT (-106.6465 35.1054)
"Barclay, Paul David","Ye, Lin",POINT (-93.2678 44.9635),POINT (-106.6465 35.1054)
"Barclay, Paul David","Wang, Xiaodong",POINT (-93.2678 44.9635),POINT (-79.0391 35.9271)
"Barclay, Paul David","Yu, Yuegen",POINT (-93.2678 44.9635),POINT (-79.9464 39.6383)
"Barclay, Paul David","Manela, Erez",POINT (-93.2678 44.9635),POINT (-72.9246 41.3113)
"Dennis, Joseph Raymond","Meng, Chen",POINT (-93.2678 44.9635),POINT (-79.0391 35.9271)
"Lintin, Daniel Paul","Ericson, Brenda A.",POINT (-93.2678 44.9635),POINT (-106.6465 35.1054)
"Ericson, Brenda A.","Ye, Lin",POINT (-106.6465 35.1054),POINT (-106.6465 35.1054)
"Ericson, Brenda A.","Wang, Xiaodong",POINT (-106.6465 35.1054),POINT (-79.0391 35.9271)
"Ericson, Brenda A.","Yu, Yuegen",POINT (-106.6465 35.1054),POINT (-79.9464 39.6383)
"Ericson, Brenda A.","Manela, Erez",POINT (-106.6465 35.1054),POINT (-72.9246 41.3113)
"Ye, Lin","Wang, Xiaodong",POINT (-106.6465 35.1054),POINT (-79.0391 35.9271)
"Ye, Lin","Yu, Yuegen",POINT (-106.6465 35.1054),POINT (-79.9464 39.6383)
"Ye, Lin","Manela, Erez",POINT (-106.6465 35.1054),POINT (-72.9246 41.3113)
"Wang, Xiaodong","Yu, Yuegen",POINT (-79.0391 35.9271),POINT (-79.9464 39.6383)
"Wang, Xiaodong","Manela, Erez",POINT (-79.0391 35.9271),POINT (-72.9246 41.3113)
"Wells, Matthew","Skar, Lowell Dean",POINT (-123.1174 44.0564),POINT (-75.1339 40.0077)
"Harrer, Alexandra","Campbell, Aurelia",POINT (-75.1339 40.0077),POINT (-75.1339 40.0077)
"Yu, Yuegen","Manela, Erez",POINT (-79.9464 39.6383),POINT (-72.9246 41.3113)
"Wheeler, Charles James","Muranushi, Michimi",POINT (-72.9246 41.3113),POINT (-72.9246 41.3113)
