source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_coordinates,source_address,target_coordinates,target_address
Hubert Antheaume,"Saint Nicolas, Nantes",Commerce ,"Jacques Yvon, sr des Landes","Léogane, Ile Saint Domingue",,Delalande,4/2E/624,société,03/08/1673,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.8760754 48.3727602),"Saint-Domineuc, 35190, Bretagne, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce ,Hubert Antheaume,"Saint Nicolas, Nantes",,Delalande,4/2E/626,procompte,06/08/1675,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher et Hubert Antheaume Cie,"Saint Nicolas, Nantes",Finance ,Nicolas Hotman,Orléans,"Le Croisic, Paimbeuf, Antilles, La Rochelle, Bordeaux",Verger,4/E2/1954,Cambie,25/08/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Marie Boucher et Hubert Antheaume Cie,"Saint Nicolas, Nantes",Commerce,Robert Miron,Orléans,,Verger,4/E2/1954,Cambie,25/08/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Marie Boucher et Hubert Antheaume Cie,"Saint Nicolas, Nantes",Commerce,Jean de Beausse,Orléans,,Verger,4/E2/1954,Cambie,25/08/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Marie Boucher et Hubert Antheaume Cie,"Saint Nicolas, Nantes",Finance ,Nicolas Hotman,Orléans,"Le Croisic, Paimbeuf, Antilles, La Rochelle, Bordeaux",Verger,4/E2/1954,Cambie,23/09/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Marie Boucher et Hubert Antheaume Cie,"Saint Nicolas, Nantes",Commerce,François Lemasson,Orléans,,Verger,4/E2/1954,Cambie,23/09/1672,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
