source,target,source_coordinates,target_coordinates
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314)
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796)
Francisco J. García-Peñalvo,Charles Severance,POINT (-5.6640182 40.9651572),POINT (-83.7484616 42.2813722)
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Felix Schmitz,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Rainer Hofer,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Ulrich Woermann,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Eduardo Fernández-Medina,POINT (-5.6640182 40.9651572),POINT (-3.9285138 38.9854201)
Francisco J. García-Peñalvo,Oscar Rebollo,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Daniel Mellado,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Marijana Despotović-Zrakić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Dusan Barać,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Zorica Bogdanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Branislav Jovanić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Božidar Radenković,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Marc Alier Forment,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Patricia Ordóñez de Pablos,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,David Griffiths,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Mark Johnson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Kris Popat,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Paul Sharples,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Scott Wilson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Ricardo Queirós,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512)
Francisco J. García-Peñalvo,José Paulo Leal,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512)
Francisco J. García-Peñalvo,María José Casany,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Nikolas Galanis,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Anton Joha,POINT (-5.6640182 40.9651572),POINT (-0.1277653 51.5074456)
Francisco J. García-Peñalvo,Marijn Janssen,POINT (-5.6640182 40.9651572),POINT (4.362724538543995 51.999457199999995)
Francisco J. García-Peñalvo,Eduardo Fernandes,POINT (-5.6640182 40.9651572),POINT (-46.6333824 -23.5506507)
Francisco J. García-Peñalvo,Marc Sabbagh,POINT (-5.6640182 40.9651572),POINT (2.2890454 48.9105948)
Francisco J. García-Peñalvo,Antonio de Amescua Seco,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Miloš Milovanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Miroslav Minović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Starčević Dušan,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Miguel García Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Jose María Alvarez Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Diego Berrueta Muñoz,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422)
Francisco J. García-Peñalvo,Luis Polo Paredes,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422)
Francisco J. García-Peñalvo,Jose Emilio Labra Gayo,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Thijs Baars,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006)
Francisco J. García-Peñalvo,Marco Spruit,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006)
Francisco J. García-Peñalvo,David Griol,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,José Manuel Molina,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Araceli Sanchis de Miguel,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Zoraida Callejas,POINT (-5.6640182 40.9651572),POINT (-3.5995337 37.1734995)
Francisco J. García-Peñalvo,Alok Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759)
Francisco J. García-Peñalvo,Deepti Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759)
Francisco J. García-Peñalvo,Pedro Soto-Acosta,POINT (-5.6640182 40.9651572),POINT (-1.1305431 37.9923795)
Francisco J. García-Peñalvo,Ángel García-Crespo,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Gislaine Camila Lapasini Leal,POINT (-5.6640182 40.9651572),POINT (-51.9382078 -23.425269)
Francisco J. García-Peñalvo,Ana Paula Chaves,POINT (-5.6640182 40.9651572),POINT (-52.37802 -24.046329)
Francisco J. García-Peñalvo,Elisa Hatsue Moriya Huzita,POINT (-5.6640182 40.9651572),POINT (-51.9382078 -23.425269)
Francisco J. García-Peñalvo,Marcio Eduardo Delamaro,POINT (-5.6640182 40.9651572),POINT (-47.891154 -22.0180395)
Ricardo Colomo-Palacios,Marc Alier,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Enric Mayol,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Maria Jose Casañ,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Jordi Piguillem,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Jeffrey W. Merriman,POINT (-3.76527 40.3281942),POINT (0.1186637 52.2055314)
Ricardo Colomo-Palacios,Miguel Ángel Conde,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572)
Ricardo Colomo-Palacios,Wouter Tebben,POINT (-3.76527 40.3281942),POINT (4.8924534 52.3730796)
Ricardo Colomo-Palacios,Charles Severance,POINT (-3.76527 40.3281942),POINT (-83.7484616 42.2813722)
Ricardo Colomo-Palacios,Eduardo Fernández-Medina,POINT (-3.76527 40.3281942),POINT (-3.9285138 38.9854201)
Ricardo Colomo-Palacios,Oscar Rebollo,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047)
Ricardo Colomo-Palacios,Daniel Mellado,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047)
Ricardo Colomo-Palacios,Marc Alier Forment,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Patricia Ordóñez de Pablos,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625)
Ricardo Colomo-Palacios,María José Casany,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939)
Ricardo Colomo-Palacios,Nikolas Galanis,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572)
Ricardo Colomo-Palacios,Anton Joha,POINT (-3.76527 40.3281942),POINT (-0.1277653 51.5074456)
Ricardo Colomo-Palacios,Marijn Janssen,POINT (-3.76527 40.3281942),POINT (4.362724538543995 51.999457199999995)
Ricardo Colomo-Palacios,Eduardo Fernandes,POINT (-3.76527 40.3281942),POINT (-46.6333824 -23.5506507)
Ricardo Colomo-Palacios,Marc Sabbagh,POINT (-3.76527 40.3281942),POINT (2.2890454 48.9105948)
Ricardo Colomo-Palacios,Antonio de Amescua Seco,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047)
Ricardo Colomo-Palacios,Miguel García Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625)
Ricardo Colomo-Palacios,Jose María Alvarez Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625)
Ricardo Colomo-Palacios,Diego Berrueta Muñoz,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422)
Ricardo Colomo-Palacios,Luis Polo Paredes,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422)
Ricardo Colomo-Palacios,Jose Emilio Labra Gayo,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625)
Ricardo Colomo-Palacios,Thijs Baars,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006)
Ricardo Colomo-Palacios,Marco Spruit,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006)
Ricardo Colomo-Palacios,Alok Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759)
Ricardo Colomo-Palacios,Deepti Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759)
Ricardo Colomo-Palacios,Pedro Soto-Acosta,POINT (-3.76527 40.3281942),POINT (-1.1305431 37.9923795)
Ricardo Colomo-Palacios,Ángel García-Crespo,POINT (-3.76527 40.3281942),POINT (-3.76527 40.3281942)
Ricardo Colomo-Palacios,Gislaine Camila Lapasini Leal,POINT (-3.76527 40.3281942),POINT (-51.9382078 -23.425269)
Ricardo Colomo-Palacios,Ana Paula Chaves,POINT (-3.76527 40.3281942),POINT (-52.37802 -24.046329)
Ricardo Colomo-Palacios,Elisa Hatsue Moriya Huzita,POINT (-3.76527 40.3281942),POINT (-51.9382078 -23.425269)
Ricardo Colomo-Palacios,Marcio Eduardo Delamaro,POINT (-3.76527 40.3281942),POINT (-47.891154 -22.0180395)
Valentina Gatteschi,Fabrizio Lamberti,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551)
Valentina Gatteschi,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551)
Valentina Gatteschi,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996)
Valentina Gatteschi,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908)
Valentina Gatteschi,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088)
Valentina Gatteschi,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Valentina Gatteschi,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Valentina Gatteschi,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364)
Valentina Gatteschi,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Valentina Gatteschi,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Valentina Gatteschi,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Fabrizio Lamberti,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551)
Fabrizio Lamberti,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996)
Fabrizio Lamberti,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908)
Fabrizio Lamberti,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088)
Fabrizio Lamberti,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Fabrizio Lamberti,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Fabrizio Lamberti,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364)
Fabrizio Lamberti,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Fabrizio Lamberti,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Fabrizio Lamberti,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Claudio Demartini,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996)
Claudio Demartini,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908)
Claudio Demartini,Tarek F. Gharib,POINT (7.6824892 45.0677551),POINT (39.1653612 21.5810088)
Claudio Demartini,Nagwa Badr,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Claudio Demartini,Shaimaa Haridy,POINT (7.6824892 45.0677551),POINT (31.2357257 30.0443879)
Claudio Demartini,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364)
Claudio Demartini,Hongming Cai,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Claudio Demartini,Boyi Xu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Claudio Demartini,Fenglin Bu,POINT (7.6824892 45.0677551),POINT (121.4700152 31.2312707)
Rob van Wezel,Simonetta Bettiol,POINT (-2.671522203148835 54.605648099999996),POINT (12.3345898 45.4371908)
Rob van Wezel,Tarek F. Gharib,POINT (-2.671522203148835 54.605648099999996),POINT (39.1653612 21.5810088)
Rob van Wezel,Nagwa Badr,POINT (-2.671522203148835 54.605648099999996),POINT (31.2357257 30.0443879)
Rob van Wezel,Shaimaa Haridy,POINT (-2.671522203148835 54.605648099999996),POINT (31.2357257 30.0443879)
Rob van Wezel,Ajith Abraham,POINT (-2.671522203148835 54.605648099999996),POINT (-1.57027 55.1832364)
Rob van Wezel,Hongming Cai,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707)
Rob van Wezel,Boyi Xu,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707)
Rob van Wezel,Fenglin Bu,POINT (-2.671522203148835 54.605648099999996),POINT (121.4700152 31.2312707)
Simonetta Bettiol,Tarek F. Gharib,POINT (12.3345898 45.4371908),POINT (39.1653612 21.5810088)
Simonetta Bettiol,Nagwa Badr,POINT (12.3345898 45.4371908),POINT (31.2357257 30.0443879)
Simonetta Bettiol,Shaimaa Haridy,POINT (12.3345898 45.4371908),POINT (31.2357257 30.0443879)
Simonetta Bettiol,Ajith Abraham,POINT (12.3345898 45.4371908),POINT (-1.57027 55.1832364)
Simonetta Bettiol,Hongming Cai,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707)
Simonetta Bettiol,Boyi Xu,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707)
Simonetta Bettiol,Fenglin Bu,POINT (12.3345898 45.4371908),POINT (121.4700152 31.2312707)
Santi Caballe,David Ganan,POINT (2.1774322 41.3828939),POINT (2.1774322 41.3828939)
Santi Caballe,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812)
Santi Caballe,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385)
Santi Caballe,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355)
David Ganan,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812)
David Ganan,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385)
David Ganan,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355)
Ian Dunwell,Anna Pierri,POINT (-1.510477 52.4081812),POINT (14.7699874 40.7469385)
Ian Dunwell,Thanasis Daradoumis,POINT (-1.510477 52.4081812),POINT (26.554788 39.1037355)
Anna Pierri,Thanasis Daradoumis,POINT (14.7699874 40.7469385),POINT (26.554788 39.1037355)
Peter B. Sloep,Adriana J. Berlanga,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Peter B. Sloep,Wolfgang Greller,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Peter B. Sloep,Slavi Stoyanov,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Peter B. Sloep,Marcel van der Klink,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Peter B. Sloep,Symeon Retalis,POINT (5.981506585454879 50.8775239),POINT (23.6470593 37.9431594)
Peter B. Sloep,Jan Hensgens,POINT (5.981506585454879 50.8775239),POINT (5.6909768 50.8512438)
Adriana J. Berlanga,Wolfgang Greller,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Adriana J. Berlanga,Slavi Stoyanov,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Adriana J. Berlanga,Marcel van der Klink,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Adriana J. Berlanga,Symeon Retalis,POINT (5.981506585454879 50.8775239),POINT (23.6470593 37.9431594)
Adriana J. Berlanga,Jan Hensgens,POINT (5.981506585454879 50.8775239),POINT (5.6909768 50.8512438)
Wolfgang Greller,Slavi Stoyanov,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Wolfgang Greller,Marcel van der Klink,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Wolfgang Greller,Symeon Retalis,POINT (5.981506585454879 50.8775239),POINT (23.6470593 37.9431594)
Wolfgang Greller,Jan Hensgens,POINT (5.981506585454879 50.8775239),POINT (5.6909768 50.8512438)
Slavi Stoyanov,Marcel van der Klink,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239)
Slavi Stoyanov,Symeon Retalis,POINT (5.981506585454879 50.8775239),POINT (23.6470593 37.9431594)
Slavi Stoyanov,Jan Hensgens,POINT (5.981506585454879 50.8775239),POINT (5.6909768 50.8512438)
Marcel van der Klink,Symeon Retalis,POINT (5.981506585454879 50.8775239),POINT (23.6470593 37.9431594)
Marcel van der Klink,Jan Hensgens,POINT (5.981506585454879 50.8775239),POINT (5.6909768 50.8512438)
Symeon Retalis,Jan Hensgens,POINT (23.6470593 37.9431594),POINT (5.6909768 50.8512438)
Jesus G. Boticario,Alejandro Rodriguez-Ascaso,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,Olga C. Santos,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,Emmanuelle Raffenne,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,Lydia Montandon,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,David Roldán,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Jesus G. Boticario,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Jesus G. Boticario,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Jesus G. Boticario,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Alejandro Rodriguez-Ascaso,Olga C. Santos,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Emmanuelle Raffenne,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Lydia Montandon,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,David Roldán,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Alejandro Rodriguez-Ascaso,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Alejandro Rodriguez-Ascaso,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Olga C. Santos,Emmanuelle Raffenne,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Olga C. Santos,Lydia Montandon,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Olga C. Santos,David Roldán,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Olga C. Santos,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Olga C. Santos,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Olga C. Santos,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Olga C. Santos,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Emmanuelle Raffenne,Lydia Montandon,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Emmanuelle Raffenne,David Roldán,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Emmanuelle Raffenne,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Emmanuelle Raffenne,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Emmanuelle Raffenne,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Emmanuelle Raffenne,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Lydia Montandon,David Roldán,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Lydia Montandon,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
Lydia Montandon,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Lydia Montandon,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Lydia Montandon,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
David Roldán,Félix Buendía,POINT (-3.7035825 40.4167047),POINT (-3.7035825 40.4167047)
David Roldán,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
David Roldán,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
David Roldán,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Félix Buendía,Rob J.M. Hartog,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Félix Buendía,Adrie J.M. Beulens,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Félix Buendía,Johannes Tramper,POINT (-3.7035825 40.4167047),POINT (5.668298061827958 51.9685817)
Benjamim Fonseca,Leonel Morgado,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Hugo Paredes,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Paulo Martins,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Ramiro Gonçalves,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Pedro Neves,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Ricardo Rodrigues Nunes,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Jorge Lima,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,João Varajão,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Benjamim Fonseca,Ângela Pereira,POINT (-7.7457614 41.2976935),POINT (-8.8071119 39.7437902)
Benjamim Fonseca,Robert Sanders,POINT (-7.7457614 41.2976935),POINT (-90.5887314 38.9494939)
Benjamim Fonseca,Vera Barracho,POINT (-7.7457614 41.2976935),POINT (-90.5887314 38.9494939)
Benjamim Fonseca,Urban Lapajne,POINT (-7.7457614 41.2976935),POINT (15.6455854 46.5576439)
Benjamim Fonseca,Matej Rus,POINT (-7.7457614 41.2976935),POINT (15.6455854 46.5576439)
Benjamim Fonseca,Martin Rahe,POINT (-7.7457614 41.2976935),POINT (2.1774322 41.3828939)
Benjamim Fonseca,Andre Mostert,POINT (-7.7457614 41.2976935),POINT (-0.1277653 51.5074456)
Benjamim Fonseca,Thorsten Klein,POINT (-7.7457614 41.2976935),POINT (-0.1277653 51.5074456)
Benjamim Fonseca,Viktorija Bojovic,POINT (-7.7457614 41.2976935),POINT (19.8451756 45.2551338)
Benjamim Fonseca,Saša Bošnjak,POINT (-7.7457614 41.2976935),POINT (19.8451756 45.2551338)
Benjamim Fonseca,Zita Bošnjak,POINT (-7.7457614 41.2976935),POINT (19.8451756 45.2551338)
Benjamim Fonseca,João Carvalho,POINT (-7.7457614 41.2976935),POINT (-7.5043211 40.2805658)
Benjamim Fonseca,Isabel Duarte,POINT (-7.7457614 41.2976935),POINT (-7.5043211 40.2805658)
Benjamim Fonseca,Andreana Casaramona,POINT (-7.7457614 41.2976935),POINT (15.5542082 38.1937571)
Benjamim Fonseca,Alberto Soraci,POINT (-7.7457614 41.2976935),POINT (15.5542082 38.1937571)
Leonel Morgado,Hugo Paredes,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Paulo Martins,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Ramiro Gonçalves,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Pedro Neves,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Ricardo Rodrigues Nunes,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Jorge Lima,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,João Varajão,POINT (-7.7457614 41.2976935),POINT (-7.7457614 41.2976935)
Leonel Morgado,Ângela Pereira,POINT (-7.7457614 41.2976935),POINT (-8.8071119 39.7437902)
Leonel Morgado,Robert Sanders,POINT (-7.7457614 41.2976935),POINT (-90.5887314 38.9494939)
Leonel Morgado,Vera Barracho,POINT (-7.7457614 41.2976935),POINT (-90.5887314 38.9494939)
