source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_coordinates,source_address,target_coordinates,target_address
Marie Boucher,"Saint Nicolas, Nantes",Famille,Jean Boucher,Ile Saint Christophe,,Verger,4/2E/1950,Mariage,12/10/1670,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-72.5359726 46.3620758),"Île Saint-Christophe, G9A 5E3, Canada"
Marie Boucher,"Saint Nicolas, Nantes",Commerce,Jean Boucher,Ile Saint Christophe,,Verger,4/2E/1950,Mariage,12/10/1670,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-72.5359726 46.3620758),"Île Saint-Christophe, G9A 5E3, Canada"
Jean Merceron sr de la Poitevinière,"Saint Nicolas, Nantes",Finance ,Madeleine Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1950,Mariage,12/10/1670,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Jean Merceron sr de la Poitevinière,"Saint Nicolas, Nantes",Commerce,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1950,Mariage,12/10/1670,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Jacques Antheaume,Ile Saint Domingue,Famille,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,12/06/1669,POINT (-1.5710107 47.2017486),"Rue de Saint-Domingue, Île Sainte-Anne, Sainte-Anne - Zone portuaire, Île de Nantes, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44276, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Jacques Antheaume,Ile Saint Domingue,Commerce,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Procuration,12/06/1669,POINT (-1.5710107 47.2017486),"Rue de Saint-Domingue, Île Sainte-Anne, Sainte-Anne - Zone portuaire, Île de Nantes, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44276, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Jean Chesneau,Ancenis,Travail,Hubert Antheaume,"Saint Nicolas, Nantes",,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Jean Chesneau,Ancenis,Famille,Simon Chesneau,Ancenis,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-1.1816088 47.3648141),"Ancenis, 44150, Ancenis-Saint-Géréon, Pays de la Loire, France"
Jean Chesneau,Ancenis,Famille,Renée Leboisteux,Ancenis,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-1.1816088 47.3648141),"Ancenis, 44150, Ancenis-Saint-Géréon, Pays de la Loire, France"
Simon Chesneau,Ancenis,Famille,Renée Leboisteux,Ancenis,,Verger,4/2E/1951,Engagement,11/02/1671,POINT (-1.1816088 47.3648141),"Ancenis, Ancenis-Saint-Géréon, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44150, France",POINT (-1.1816088 47.3648141),"Ancenis, 44150, Ancenis-Saint-Géréon, Pays de la Loire, France"
