source_location,target_location
POINT (14.8153333 46.1199444),POINT (104.999927 35.000074)
POINT (14.8153333 46.1199444),POINT (97.7453061 64.6863136)
POINT (14.8153333 46.1199444),POINT (-100.445882 39.7837304)
POINT (14.8153333 46.1199444),POINT (-73.96727182919946 40.750214150000005)
POINT (14.8153333 46.1199444),POINT (11.6899699 -0.8999695)
POINT (1.8883335 46.603354),POINT (-3.2765753 54.7023545)
POINT (1.8883335 46.603354),POINT (104.999927 35.000074)
POINT (1.8883335 46.603354),POINT (97.7453061 64.6863136)
POINT (1.8883335 46.603354),POINT (-100.445882 39.7837304)
POINT (1.8883335 46.603354),POINT (-73.96727182919946 40.750214150000005)
POINT (1.8883335 46.603354),POINT (11.6899699 -0.8999695)
POINT (-3.2765753 54.7023545),POINT (104.999927 35.000074)
POINT (-3.2765753 54.7023545),POINT (97.7453061 64.6863136)
POINT (-3.2765753 54.7023545),POINT (-100.445882 39.7837304)
POINT (-3.2765753 54.7023545),POINT (-73.96727182919946 40.750214150000005)
POINT (-3.2765753 54.7023545),POINT (11.6899699 -0.8999695)
POINT (104.999927 35.000074),POINT (97.7453061 64.6863136)
POINT (104.999927 35.000074),POINT (-100.445882 39.7837304)
POINT (104.999927 35.000074),POINT (-73.96727182919946 40.750214150000005)
POINT (104.999927 35.000074),POINT (11.6899699 -0.8999695)
POINT (97.7453061 64.6863136),POINT (-100.445882 39.7837304)
POINT (97.7453061 64.6863136),POINT (-73.96727182919946 40.750214150000005)
POINT (97.7453061 64.6863136),POINT (11.6899699 -0.8999695)
POINT (-100.445882 39.7837304),POINT (-73.96727182919946 40.750214150000005)
POINT (-100.445882 39.7837304),POINT (11.6899699 -0.8999695)
POINT (-73.96727182919946 40.750214150000005),POINT (11.6899699 -0.8999695)
POINT (-68.241578 -16.1479939),POINT (6.141067462697978 49.62080075)
POINT (-68.241578 -16.1479939),POINT (97.7453061 64.6863136)
POINT (6.141067462697978 49.62080075),POINT (97.7453061 64.6863136)
POINT (41.2299786 43.1500226),POINT (-83.1137366 32.3293809)
POINT (41.2299786 43.1500226),POINT (44.29295180730334 43.710901899999996)
POINT (41.2299786 43.1500226),POINT (97.7453061 64.6863136)
POINT (-83.1137366 32.3293809),POINT (44.29295180730334 43.710901899999996)
POINT (-83.1137366 32.3293809),POINT (97.7453061 64.6863136)
POINT (44.29295180730334 43.710901899999996),POINT (97.7453061 64.6863136)
POINT (-73.96727182919946 40.750214150000005),POINT (-83.1137366 32.3293809)
POINT (-73.96727182919946 40.750214150000005),POINT (97.7453061 64.6863136)
POINT (-73.96727182919946 40.750214150000005),POINT EMPTY
POINT (-73.96727182919946 40.750214150000005),POINT (41.2299786 43.1500226)
POINT (-83.1137366 32.3293809),POINT (97.7453061 64.6863136)
POINT (-83.1137366 32.3293809),POINT EMPTY
POINT (-83.1137366 32.3293809),POINT (41.2299786 43.1500226)
POINT (97.7453061 64.6863136),POINT EMPTY
POINT (97.7453061 64.6863136),POINT (41.2299786 43.1500226)
