source_location,target_location
POINT (51.2295295 25.3336984),POINT (53.9994829 24.0002488)
POINT (51.2295295 25.3336984),POINT (-3.2765753 54.7023545)
POINT (51.2295295 25.3336984),POINT (29.2675469 26.2540493)
POINT (51.2295295 25.3336984),POINT (103.8499736 46.8250388)
POINT (51.2295295 25.3336984),POINT (74.724091 41.5089324)
POINT (51.2295295 25.3336984),POINT (14.4476911 35.8885993)
POINT (51.2295295 25.3336984),POINT (-88.9140683 13.8000382)
POINT (51.2295295 25.3336984),POINT (10.3333283 55.670249)
POINT (51.2295295 25.3336984),POINT (-72.9088133 4.099917)
POINT (51.2295295 25.3336984),POINT (32.889902651331866 34.9174159)
POINT (51.2295295 25.3336984),POINT (15.6575209 45.3658443)
POINT (51.2295295 25.3336984),POINT (-107.991707 61.0666922)
POINT (51.2295295 25.3336984),POINT (25.4856617 42.6073975)
POINT (51.2295295 25.3336984),POINT (114.5653908 4.4137155)
POINT (51.2295295 25.3336984),POINT (-53.2 -10.3333333)
POINT (51.2295295 25.3336984),POINT (17.5961467 44.3053476)
POINT (51.2295295 25.3336984),POINT (4.6667145 50.6402809)
POINT (51.2295295 25.3336984),POINT (50.5344606 26.1551249)
POINT (51.2295295 25.3336984),POINT (47.7872508 40.3936294)
POINT (51.2295295 25.3336984),POINT (14.12456 47.59397)
POINT (51.2295295 25.3336984),POINT (134.755 -24.7761086)
POINT (51.2295295 25.3336984),POINT (44.6736646 40.7696272)
POINT (51.2295295 25.3336984),POINT (-64.9672817 -34.9964963)
POINT (51.2295295 25.3336984),POINT (19.9999619 41.000028)
POINT (51.2295295 25.3336984),POINT (66.2385139 33.7680065)
POINT (51.2295295 25.3336984),POINT (25.3319078 58.7523778)
POINT (51.2295295 25.3336984),POINT (25.9209164 63.2467777)
POINT (51.2295295 25.3336984),POINT (1.8883335 46.603354)
POINT (51.2295295 25.3336984),POINT (-83.1137366 32.3293809)
POINT (51.2295295 25.3336984),POINT (102.2656823 4.5693754)
POINT (51.2295295 25.3336984),POINT (21.7168387 41.6171214)
POINT (51.2295295 25.3336984),POINT (6.129799 49.6112768)
POINT (51.2295295 25.3336984),POINT (23.7499997 55.3500003)
POINT (51.2295295 25.3336984),POINT (9.5531527 47.1416307)
POINT (51.2295295 25.3336984),POINT (35.843409 33.8750629)
POINT (51.2295295 25.3336984),POINT (24.7537645 56.8406494)
POINT (51.2295295 25.3336984),POINT (127.6961188 36.638392)
POINT (51.2295295 25.3336984),POINT (66.7780818 48.1012954)
POINT (51.2295295 25.3336984),POINT (-102.0077097 23.6585116)
POINT (51.2295295 25.3336984),POINT (36.941628 31.1667049)
POINT (51.2295295 25.3336984),POINT (12.674297 42.6384261)
POINT (51.2295295 25.3336984),POINT (-7.9794599 52.865196)
POINT (51.2295295 25.3336984),POINT (44.1749775 33.0955793)
POINT (51.2295295 25.3336984),POINT (55.147647448637606 24.956654649999997)
POINT (51.2295295 25.3336984),POINT (117.8902853 -2.4833826)
POINT (51.2295295 25.3336984),POINT (78.6677428 22.3511148)
POINT (51.2295295 25.3336984),POINT (-18.1059013 64.9841821)
POINT (51.2295295 25.3336984),POINT (19.5060937 47.1817585)
POINT (51.2295295 25.3336984),POINT (10.4478313 51.1638175)
POINT (51.2295295 25.3336984),POINT (139.2394179 36.5748441)
POINT (51.2295295 25.3336984),POINT (39.1074494 -5.0730142)
POINT (51.2295295 25.3336984),POINT (14.8153333 46.1199444)
POINT (51.2295295 25.3336984),POINT (-73.96727182919946 40.750214150000005)
POINT (-8.1353519 39.6621648),POINT (19.134422 52.215933)
POINT (-8.1353519 39.6621648),POINT (122.7312101 12.7503486)
POINT (-8.1353519 39.6621648),POINT (57.0036901 21.0000287)
POINT (-8.1353519 39.6621648),POINT (8.7876653 61.1529386)
POINT (-8.1353519 39.6621648),POINT (172.8344077 -41.5000831)
POINT (-8.1353519 39.6621648),POINT (5.6343227 52.2434979)
POINT (-8.1353519 39.6621648),POINT (9.400138 33.8439408)
POINT (-8.1353519 39.6621648),POINT (24.6859225 45.9852129)
POINT (-8.1353519 39.6621648),POINT (34.9249653 38.9597594)
POINT (-8.1353519 39.6621648),POINT (90.2934413 24.4769288)
POINT (-8.1353519 39.6621648),POINT (31.2718321 49.4871968)
POINT (-8.1353519 39.6621648),POINT (80.24437259453944 12.9838992)
POINT (-8.1353519 39.6621648),POINT (74.3783836 31.4552515)
POINT (-8.1353519 39.6621648),POINT (-74.81680214508614 11.0026576)
POINT (-8.1353519 39.6621648),POINT (39.2014894 21.4757759)
POINT (-8.1353519 39.6621648),POINT (39.2925702 -6.8121919)
POINT (-8.1353519 39.6621648),POINT (6.141067462697978 49.62080075)
POINT (-8.1353519 39.6621648),POINT (28.134886546473354 -14.67457955)
POINT (-8.1353519 39.6621648),POINT EMPTY
POINT (-8.1353519 39.6621648),POINT (59.3924609 39.3763807)
POINT (-8.1353519 39.6621648),POINT (90.37303204804397 23.77413075)
POINT (-8.1353519 39.6621648),POINT (104.999927 35.000074)
POINT (-8.1353519 39.6621648),POINT (19.5180992 42.9868853)
POINT (-8.1353519 39.6621648),POINT (2.9999825 28.0000272)
POINT (-8.1353519 39.6621648),POINT (107.9650855 15.9266657)
POINT (-8.1353519 39.6621648),POINT (63.9528098 41.32373)
POINT (-8.1353519 39.6621648),POINT (-100.445882 39.7837304)
POINT (-8.1353519 39.6621648),POINT (-56.0201525 -32.8755548)
POINT (-8.1353519 39.6621648),POINT (53.9994829 24.0002488)
POINT (-8.1353519 39.6621648),POINT (-3.2765753 54.7023545)
POINT (-8.1353519 39.6621648),POINT (29.2675469 26.2540493)
POINT (-8.1353519 39.6621648),POINT (103.8499736 46.8250388)
POINT (-8.1353519 39.6621648),POINT (74.724091 41.5089324)
POINT (-8.1353519 39.6621648),POINT (14.4476911 35.8885993)
POINT (-8.1353519 39.6621648),POINT (-88.9140683 13.8000382)
POINT (-8.1353519 39.6621648),POINT (10.3333283 55.670249)
POINT (-8.1353519 39.6621648),POINT (-72.9088133 4.099917)
POINT (-8.1353519 39.6621648),POINT (32.889902651331866 34.9174159)
POINT (-8.1353519 39.6621648),POINT (15.6575209 45.3658443)
POINT (-8.1353519 39.6621648),POINT (-107.991707 61.0666922)
POINT (-8.1353519 39.6621648),POINT (25.4856617 42.6073975)
POINT (-8.1353519 39.6621648),POINT (114.5653908 4.4137155)
POINT (-8.1353519 39.6621648),POINT (-53.2 -10.3333333)
POINT (-8.1353519 39.6621648),POINT (17.5961467 44.3053476)
POINT (-8.1353519 39.6621648),POINT (4.6667145 50.6402809)
POINT (-8.1353519 39.6621648),POINT (50.5344606 26.1551249)
POINT (-8.1353519 39.6621648),POINT (47.7872508 40.3936294)
POINT (-8.1353519 39.6621648),POINT (14.12456 47.59397)
POINT (-8.1353519 39.6621648),POINT (134.755 -24.7761086)
POINT (-8.1353519 39.6621648),POINT (44.6736646 40.7696272)
POINT (-8.1353519 39.6621648),POINT (-64.9672817 -34.9964963)
POINT (-8.1353519 39.6621648),POINT (19.9999619 41.000028)
POINT (-8.1353519 39.6621648),POINT (66.2385139 33.7680065)
POINT (-8.1353519 39.6621648),POINT (25.3319078 58.7523778)
POINT (-8.1353519 39.6621648),POINT (25.9209164 63.2467777)
POINT (-8.1353519 39.6621648),POINT (1.8883335 46.603354)
POINT (-8.1353519 39.6621648),POINT (-83.1137366 32.3293809)
POINT (-8.1353519 39.6621648),POINT (102.2656823 4.5693754)
POINT (-8.1353519 39.6621648),POINT (21.7168387 41.6171214)
POINT (-8.1353519 39.6621648),POINT (6.129799 49.6112768)
POINT (-8.1353519 39.6621648),POINT (23.7499997 55.3500003)
POINT (-8.1353519 39.6621648),POINT (9.5531527 47.1416307)
POINT (-8.1353519 39.6621648),POINT (35.843409 33.8750629)
POINT (-8.1353519 39.6621648),POINT (24.7537645 56.8406494)
POINT (-8.1353519 39.6621648),POINT (127.6961188 36.638392)
POINT (-8.1353519 39.6621648),POINT (66.7780818 48.1012954)
POINT (-8.1353519 39.6621648),POINT (-102.0077097 23.6585116)
POINT (-8.1353519 39.6621648),POINT (36.941628 31.1667049)
POINT (-8.1353519 39.6621648),POINT (12.674297 42.6384261)
POINT (-8.1353519 39.6621648),POINT (-7.9794599 52.865196)
POINT (-8.1353519 39.6621648),POINT (44.1749775 33.0955793)
POINT (-8.1353519 39.6621648),POINT (55.147647448637606 24.956654649999997)
POINT (-8.1353519 39.6621648),POINT (117.8902853 -2.4833826)
POINT (-8.1353519 39.6621648),POINT (78.6677428 22.3511148)
POINT (-8.1353519 39.6621648),POINT (-18.1059013 64.9841821)
POINT (-8.1353519 39.6621648),POINT (19.5060937 47.1817585)
POINT (-8.1353519 39.6621648),POINT (10.4478313 51.1638175)
POINT (-8.1353519 39.6621648),POINT (139.2394179 36.5748441)
POINT (-8.1353519 39.6621648),POINT (39.1074494 -5.0730142)
POINT (-8.1353519 39.6621648),POINT (14.8153333 46.1199444)
POINT (-8.1353519 39.6621648),POINT (-73.96727182919946 40.750214150000005)
POINT (19.134422 52.215933),POINT (122.7312101 12.7503486)
POINT (19.134422 52.215933),POINT (57.0036901 21.0000287)
POINT (19.134422 52.215933),POINT (8.7876653 61.1529386)
POINT (19.134422 52.215933),POINT (172.8344077 -41.5000831)
POINT (19.134422 52.215933),POINT (5.6343227 52.2434979)
POINT (19.134422 52.215933),POINT (9.400138 33.8439408)
POINT (19.134422 52.215933),POINT (24.6859225 45.9852129)
POINT (19.134422 52.215933),POINT (34.9249653 38.9597594)
POINT (19.134422 52.215933),POINT (90.2934413 24.4769288)
POINT (19.134422 52.215933),POINT (31.2718321 49.4871968)
POINT (19.134422 52.215933),POINT (80.24437259453944 12.9838992)
POINT (19.134422 52.215933),POINT (74.3783836 31.4552515)
POINT (19.134422 52.215933),POINT (-74.81680214508614 11.0026576)
POINT (19.134422 52.215933),POINT (39.2014894 21.4757759)
POINT (19.134422 52.215933),POINT (39.2925702 -6.8121919)
POINT (19.134422 52.215933),POINT (6.141067462697978 49.62080075)
POINT (19.134422 52.215933),POINT (28.134886546473354 -14.67457955)
POINT (19.134422 52.215933),POINT EMPTY
POINT (19.134422 52.215933),POINT (59.3924609 39.3763807)
POINT (19.134422 52.215933),POINT (90.37303204804397 23.77413075)
POINT (19.134422 52.215933),POINT (104.999927 35.000074)
POINT (19.134422 52.215933),POINT (19.5180992 42.9868853)
POINT (19.134422 52.215933),POINT (2.9999825 28.0000272)
POINT (19.134422 52.215933),POINT (107.9650855 15.9266657)
POINT (19.134422 52.215933),POINT (63.9528098 41.32373)
POINT (19.134422 52.215933),POINT (-100.445882 39.7837304)
POINT (19.134422 52.215933),POINT (-56.0201525 -32.8755548)
POINT (19.134422 52.215933),POINT (53.9994829 24.0002488)
POINT (19.134422 52.215933),POINT (-3.2765753 54.7023545)
POINT (19.134422 52.215933),POINT (29.2675469 26.2540493)
POINT (19.134422 52.215933),POINT (103.8499736 46.8250388)
POINT (19.134422 52.215933),POINT (74.724091 41.5089324)
POINT (19.134422 52.215933),POINT (14.4476911 35.8885993)
POINT (19.134422 52.215933),POINT (-88.9140683 13.8000382)
POINT (19.134422 52.215933),POINT (10.3333283 55.670249)
POINT (19.134422 52.215933),POINT (-72.9088133 4.099917)
POINT (19.134422 52.215933),POINT (32.889902651331866 34.9174159)
POINT (19.134422 52.215933),POINT (15.6575209 45.3658443)
POINT (19.134422 52.215933),POINT (-107.991707 61.0666922)
POINT (19.134422 52.215933),POINT (25.4856617 42.6073975)
POINT (19.134422 52.215933),POINT (114.5653908 4.4137155)
POINT (19.134422 52.215933),POINT (-53.2 -10.3333333)
POINT (19.134422 52.215933),POINT (17.5961467 44.3053476)
POINT (19.134422 52.215933),POINT (4.6667145 50.6402809)
POINT (19.134422 52.215933),POINT (50.5344606 26.1551249)
POINT (19.134422 52.215933),POINT (47.7872508 40.3936294)
POINT (19.134422 52.215933),POINT (14.12456 47.59397)
POINT (19.134422 52.215933),POINT (134.755 -24.7761086)
POINT (19.134422 52.215933),POINT (44.6736646 40.7696272)
POINT (19.134422 52.215933),POINT (-64.9672817 -34.9964963)
POINT (19.134422 52.215933),POINT (19.9999619 41.000028)
POINT (19.134422 52.215933),POINT (66.2385139 33.7680065)
POINT (19.134422 52.215933),POINT (25.3319078 58.7523778)
POINT (19.134422 52.215933),POINT (25.9209164 63.2467777)
POINT (19.134422 52.215933),POINT (1.8883335 46.603354)
POINT (19.134422 52.215933),POINT (-83.1137366 32.3293809)
POINT (19.134422 52.215933),POINT (102.2656823 4.5693754)
POINT (19.134422 52.215933),POINT (21.7168387 41.6171214)
POINT (19.134422 52.215933),POINT (6.129799 49.6112768)
POINT (19.134422 52.215933),POINT (23.7499997 55.3500003)
POINT (19.134422 52.215933),POINT (9.5531527 47.1416307)
POINT (19.134422 52.215933),POINT (35.843409 33.8750629)
POINT (19.134422 52.215933),POINT (24.7537645 56.8406494)
POINT (19.134422 52.215933),POINT (127.6961188 36.638392)
POINT (19.134422 52.215933),POINT (66.7780818 48.1012954)
POINT (19.134422 52.215933),POINT (-102.0077097 23.6585116)
POINT (19.134422 52.215933),POINT (36.941628 31.1667049)
POINT (19.134422 52.215933),POINT (12.674297 42.6384261)
POINT (19.134422 52.215933),POINT (-7.9794599 52.865196)
POINT (19.134422 52.215933),POINT (44.1749775 33.0955793)
POINT (19.134422 52.215933),POINT (55.147647448637606 24.956654649999997)
POINT (19.134422 52.215933),POINT (117.8902853 -2.4833826)
POINT (19.134422 52.215933),POINT (78.6677428 22.3511148)
POINT (19.134422 52.215933),POINT (-18.1059013 64.9841821)
POINT (19.134422 52.215933),POINT (19.5060937 47.1817585)
POINT (19.134422 52.215933),POINT (10.4478313 51.1638175)
POINT (19.134422 52.215933),POINT (139.2394179 36.5748441)
POINT (19.134422 52.215933),POINT (39.1074494 -5.0730142)
POINT (19.134422 52.215933),POINT (14.8153333 46.1199444)
POINT (19.134422 52.215933),POINT (-73.96727182919946 40.750214150000005)
POINT (122.7312101 12.7503486),POINT (57.0036901 21.0000287)
POINT (122.7312101 12.7503486),POINT (8.7876653 61.1529386)
POINT (122.7312101 12.7503486),POINT (172.8344077 -41.5000831)
POINT (122.7312101 12.7503486),POINT (5.6343227 52.2434979)
POINT (122.7312101 12.7503486),POINT (9.400138 33.8439408)
POINT (122.7312101 12.7503486),POINT (24.6859225 45.9852129)
POINT (122.7312101 12.7503486),POINT (34.9249653 38.9597594)
POINT (122.7312101 12.7503486),POINT (90.2934413 24.4769288)
POINT (122.7312101 12.7503486),POINT (31.2718321 49.4871968)
POINT (122.7312101 12.7503486),POINT (80.24437259453944 12.9838992)
POINT (122.7312101 12.7503486),POINT (74.3783836 31.4552515)
POINT (122.7312101 12.7503486),POINT (-74.81680214508614 11.0026576)
POINT (122.7312101 12.7503486),POINT (39.2014894 21.4757759)
POINT (122.7312101 12.7503486),POINT (39.2925702 -6.8121919)
POINT (122.7312101 12.7503486),POINT (6.141067462697978 49.62080075)
POINT (122.7312101 12.7503486),POINT (28.134886546473354 -14.67457955)
POINT (122.7312101 12.7503486),POINT EMPTY
POINT (122.7312101 12.7503486),POINT (59.3924609 39.3763807)
POINT (122.7312101 12.7503486),POINT (90.37303204804397 23.77413075)
POINT (122.7312101 12.7503486),POINT (104.999927 35.000074)
POINT (122.7312101 12.7503486),POINT (19.5180992 42.9868853)
POINT (122.7312101 12.7503486),POINT (2.9999825 28.0000272)
POINT (122.7312101 12.7503486),POINT (107.9650855 15.9266657)
POINT (122.7312101 12.7503486),POINT (63.9528098 41.32373)
POINT (122.7312101 12.7503486),POINT (-100.445882 39.7837304)
POINT (122.7312101 12.7503486),POINT (-56.0201525 -32.8755548)
POINT (122.7312101 12.7503486),POINT (53.9994829 24.0002488)
POINT (122.7312101 12.7503486),POINT (-3.2765753 54.7023545)
POINT (122.7312101 12.7503486),POINT (29.2675469 26.2540493)
POINT (122.7312101 12.7503486),POINT (103.8499736 46.8250388)
POINT (122.7312101 12.7503486),POINT (74.724091 41.5089324)
POINT (122.7312101 12.7503486),POINT (14.4476911 35.8885993)
POINT (122.7312101 12.7503486),POINT (-88.9140683 13.8000382)
POINT (122.7312101 12.7503486),POINT (10.3333283 55.670249)
POINT (122.7312101 12.7503486),POINT (-72.9088133 4.099917)
POINT (122.7312101 12.7503486),POINT (32.889902651331866 34.9174159)
POINT (122.7312101 12.7503486),POINT (15.6575209 45.3658443)
POINT (122.7312101 12.7503486),POINT (-107.991707 61.0666922)
POINT (122.7312101 12.7503486),POINT (25.4856617 42.6073975)
POINT (122.7312101 12.7503486),POINT (114.5653908 4.4137155)
POINT (122.7312101 12.7503486),POINT (-53.2 -10.3333333)
POINT (122.7312101 12.7503486),POINT (17.5961467 44.3053476)
POINT (122.7312101 12.7503486),POINT (4.6667145 50.6402809)
POINT (122.7312101 12.7503486),POINT (50.5344606 26.1551249)
POINT (122.7312101 12.7503486),POINT (47.7872508 40.3936294)
POINT (122.7312101 12.7503486),POINT (14.12456 47.59397)
POINT (122.7312101 12.7503486),POINT (134.755 -24.7761086)
POINT (122.7312101 12.7503486),POINT (44.6736646 40.7696272)
POINT (122.7312101 12.7503486),POINT (-64.9672817 -34.9964963)
POINT (122.7312101 12.7503486),POINT (19.9999619 41.000028)
POINT (122.7312101 12.7503486),POINT (66.2385139 33.7680065)
POINT (122.7312101 12.7503486),POINT (25.3319078 58.7523778)
POINT (122.7312101 12.7503486),POINT (25.9209164 63.2467777)
POINT (122.7312101 12.7503486),POINT (1.8883335 46.603354)
POINT (122.7312101 12.7503486),POINT (-83.1137366 32.3293809)
POINT (122.7312101 12.7503486),POINT (102.2656823 4.5693754)
POINT (122.7312101 12.7503486),POINT (21.7168387 41.6171214)
POINT (122.7312101 12.7503486),POINT (6.129799 49.6112768)
POINT (122.7312101 12.7503486),POINT (23.7499997 55.3500003)
POINT (122.7312101 12.7503486),POINT (9.5531527 47.1416307)
POINT (122.7312101 12.7503486),POINT (35.843409 33.8750629)
POINT (122.7312101 12.7503486),POINT (24.7537645 56.8406494)
POINT (122.7312101 12.7503486),POINT (127.6961188 36.638392)
POINT (122.7312101 12.7503486),POINT (66.7780818 48.1012954)
POINT (122.7312101 12.7503486),POINT (-102.0077097 23.6585116)
POINT (122.7312101 12.7503486),POINT (36.941628 31.1667049)
POINT (122.7312101 12.7503486),POINT (12.674297 42.6384261)
POINT (122.7312101 12.7503486),POINT (-7.9794599 52.865196)
POINT (122.7312101 12.7503486),POINT (44.1749775 33.0955793)
POINT (122.7312101 12.7503486),POINT (55.147647448637606 24.956654649999997)
POINT (122.7312101 12.7503486),POINT (117.8902853 -2.4833826)
POINT (122.7312101 12.7503486),POINT (78.6677428 22.3511148)
POINT (122.7312101 12.7503486),POINT (-18.1059013 64.9841821)
POINT (122.7312101 12.7503486),POINT (19.5060937 47.1817585)
POINT (122.7312101 12.7503486),POINT (10.4478313 51.1638175)
POINT (122.7312101 12.7503486),POINT (139.2394179 36.5748441)
POINT (122.7312101 12.7503486),POINT (39.1074494 -5.0730142)
POINT (122.7312101 12.7503486),POINT (14.8153333 46.1199444)
POINT (122.7312101 12.7503486),POINT (-73.96727182919946 40.750214150000005)
POINT (57.0036901 21.0000287),POINT (8.7876653 61.1529386)
POINT (57.0036901 21.0000287),POINT (172.8344077 -41.5000831)
POINT (57.0036901 21.0000287),POINT (5.6343227 52.2434979)
POINT (57.0036901 21.0000287),POINT (9.400138 33.8439408)
POINT (57.0036901 21.0000287),POINT (24.6859225 45.9852129)
POINT (57.0036901 21.0000287),POINT (34.9249653 38.9597594)
POINT (57.0036901 21.0000287),POINT (90.2934413 24.4769288)
POINT (57.0036901 21.0000287),POINT (31.2718321 49.4871968)
POINT (57.0036901 21.0000287),POINT (80.24437259453944 12.9838992)
POINT (57.0036901 21.0000287),POINT (74.3783836 31.4552515)
POINT (57.0036901 21.0000287),POINT (-74.81680214508614 11.0026576)
POINT (57.0036901 21.0000287),POINT (39.2014894 21.4757759)
POINT (57.0036901 21.0000287),POINT (39.2925702 -6.8121919)
POINT (57.0036901 21.0000287),POINT (6.141067462697978 49.62080075)
POINT (57.0036901 21.0000287),POINT (28.134886546473354 -14.67457955)
POINT (57.0036901 21.0000287),POINT EMPTY
POINT (57.0036901 21.0000287),POINT (59.3924609 39.3763807)
POINT (57.0036901 21.0000287),POINT (90.37303204804397 23.77413075)
POINT (57.0036901 21.0000287),POINT (104.999927 35.000074)
POINT (57.0036901 21.0000287),POINT (19.5180992 42.9868853)
POINT (57.0036901 21.0000287),POINT (2.9999825 28.0000272)
POINT (57.0036901 21.0000287),POINT (107.9650855 15.9266657)
POINT (57.0036901 21.0000287),POINT (63.9528098 41.32373)
POINT (57.0036901 21.0000287),POINT (-100.445882 39.7837304)
POINT (57.0036901 21.0000287),POINT (-56.0201525 -32.8755548)
POINT (57.0036901 21.0000287),POINT (53.9994829 24.0002488)
POINT (57.0036901 21.0000287),POINT (-3.2765753 54.7023545)
POINT (57.0036901 21.0000287),POINT (29.2675469 26.2540493)
POINT (57.0036901 21.0000287),POINT (103.8499736 46.8250388)
POINT (57.0036901 21.0000287),POINT (74.724091 41.5089324)
POINT (57.0036901 21.0000287),POINT (14.4476911 35.8885993)
POINT (57.0036901 21.0000287),POINT (-88.9140683 13.8000382)
POINT (57.0036901 21.0000287),POINT (10.3333283 55.670249)
POINT (57.0036901 21.0000287),POINT (-72.9088133 4.099917)
POINT (57.0036901 21.0000287),POINT (32.889902651331866 34.9174159)
POINT (57.0036901 21.0000287),POINT (15.6575209 45.3658443)
POINT (57.0036901 21.0000287),POINT (-107.991707 61.0666922)
POINT (57.0036901 21.0000287),POINT (25.4856617 42.6073975)
POINT (57.0036901 21.0000287),POINT (114.5653908 4.4137155)
POINT (57.0036901 21.0000287),POINT (-53.2 -10.3333333)
POINT (57.0036901 21.0000287),POINT (17.5961467 44.3053476)
POINT (57.0036901 21.0000287),POINT (4.6667145 50.6402809)
POINT (57.0036901 21.0000287),POINT (50.5344606 26.1551249)
POINT (57.0036901 21.0000287),POINT (47.7872508 40.3936294)
POINT (57.0036901 21.0000287),POINT (14.12456 47.59397)
POINT (57.0036901 21.0000287),POINT (134.755 -24.7761086)
POINT (57.0036901 21.0000287),POINT (44.6736646 40.7696272)
POINT (57.0036901 21.0000287),POINT (-64.9672817 -34.9964963)
POINT (57.0036901 21.0000287),POINT (19.9999619 41.000028)
POINT (57.0036901 21.0000287),POINT (66.2385139 33.7680065)
POINT (57.0036901 21.0000287),POINT (25.3319078 58.7523778)
POINT (57.0036901 21.0000287),POINT (25.9209164 63.2467777)
POINT (57.0036901 21.0000287),POINT (1.8883335 46.603354)
POINT (57.0036901 21.0000287),POINT (-83.1137366 32.3293809)
POINT (57.0036901 21.0000287),POINT (102.2656823 4.5693754)
POINT (57.0036901 21.0000287),POINT (21.7168387 41.6171214)
POINT (57.0036901 21.0000287),POINT (6.129799 49.6112768)
POINT (57.0036901 21.0000287),POINT (23.7499997 55.3500003)
POINT (57.0036901 21.0000287),POINT (9.5531527 47.1416307)
POINT (57.0036901 21.0000287),POINT (35.843409 33.8750629)
POINT (57.0036901 21.0000287),POINT (24.7537645 56.8406494)
POINT (57.0036901 21.0000287),POINT (127.6961188 36.638392)
POINT (57.0036901 21.0000287),POINT (66.7780818 48.1012954)
POINT (57.0036901 21.0000287),POINT (-102.0077097 23.6585116)
POINT (57.0036901 21.0000287),POINT (36.941628 31.1667049)
POINT (57.0036901 21.0000287),POINT (12.674297 42.6384261)
POINT (57.0036901 21.0000287),POINT (-7.9794599 52.865196)
POINT (57.0036901 21.0000287),POINT (44.1749775 33.0955793)
POINT (57.0036901 21.0000287),POINT (55.147647448637606 24.956654649999997)
POINT (57.0036901 21.0000287),POINT (117.8902853 -2.4833826)
POINT (57.0036901 21.0000287),POINT (78.6677428 22.3511148)
POINT (57.0036901 21.0000287),POINT (-18.1059013 64.9841821)
POINT (57.0036901 21.0000287),POINT (19.5060937 47.1817585)
POINT (57.0036901 21.0000287),POINT (10.4478313 51.1638175)
POINT (57.0036901 21.0000287),POINT (139.2394179 36.5748441)
POINT (57.0036901 21.0000287),POINT (39.1074494 -5.0730142)
POINT (57.0036901 21.0000287),POINT (14.8153333 46.1199444)
POINT (57.0036901 21.0000287),POINT (-73.96727182919946 40.750214150000005)
POINT (8.7876653 61.1529386),POINT (172.8344077 -41.5000831)
POINT (8.7876653 61.1529386),POINT (5.6343227 52.2434979)
POINT (8.7876653 61.1529386),POINT (9.400138 33.8439408)
POINT (8.7876653 61.1529386),POINT (24.6859225 45.9852129)
POINT (8.7876653 61.1529386),POINT (34.9249653 38.9597594)
POINT (8.7876653 61.1529386),POINT (90.2934413 24.4769288)
POINT (8.7876653 61.1529386),POINT (31.2718321 49.4871968)
POINT (8.7876653 61.1529386),POINT (80.24437259453944 12.9838992)
POINT (8.7876653 61.1529386),POINT (74.3783836 31.4552515)
POINT (8.7876653 61.1529386),POINT (-74.81680214508614 11.0026576)
POINT (8.7876653 61.1529386),POINT (39.2014894 21.4757759)
POINT (8.7876653 61.1529386),POINT (39.2925702 -6.8121919)
POINT (8.7876653 61.1529386),POINT (6.141067462697978 49.62080075)
POINT (8.7876653 61.1529386),POINT (28.134886546473354 -14.67457955)
POINT (8.7876653 61.1529386),POINT EMPTY
POINT (8.7876653 61.1529386),POINT (59.3924609 39.3763807)
POINT (8.7876653 61.1529386),POINT (90.37303204804397 23.77413075)
POINT (8.7876653 61.1529386),POINT (104.999927 35.000074)
POINT (8.7876653 61.1529386),POINT (19.5180992 42.9868853)
POINT (8.7876653 61.1529386),POINT (2.9999825 28.0000272)
POINT (8.7876653 61.1529386),POINT (107.9650855 15.9266657)
POINT (8.7876653 61.1529386),POINT (63.9528098 41.32373)
POINT (8.7876653 61.1529386),POINT (-100.445882 39.7837304)
POINT (8.7876653 61.1529386),POINT (-56.0201525 -32.8755548)
POINT (8.7876653 61.1529386),POINT (53.9994829 24.0002488)
POINT (8.7876653 61.1529386),POINT (-3.2765753 54.7023545)
POINT (8.7876653 61.1529386),POINT (29.2675469 26.2540493)
POINT (8.7876653 61.1529386),POINT (103.8499736 46.8250388)
POINT (8.7876653 61.1529386),POINT (74.724091 41.5089324)
POINT (8.7876653 61.1529386),POINT (14.4476911 35.8885993)
POINT (8.7876653 61.1529386),POINT (-88.9140683 13.8000382)
POINT (8.7876653 61.1529386),POINT (10.3333283 55.670249)
POINT (8.7876653 61.1529386),POINT (-72.9088133 4.099917)
POINT (8.7876653 61.1529386),POINT (32.889902651331866 34.9174159)
POINT (8.7876653 61.1529386),POINT (15.6575209 45.3658443)
POINT (8.7876653 61.1529386),POINT (-107.991707 61.0666922)
POINT (8.7876653 61.1529386),POINT (25.4856617 42.6073975)
POINT (8.7876653 61.1529386),POINT (114.5653908 4.4137155)
POINT (8.7876653 61.1529386),POINT (-53.2 -10.3333333)
POINT (8.7876653 61.1529386),POINT (17.5961467 44.3053476)
POINT (8.7876653 61.1529386),POINT (4.6667145 50.6402809)
POINT (8.7876653 61.1529386),POINT (50.5344606 26.1551249)
POINT (8.7876653 61.1529386),POINT (47.7872508 40.3936294)
POINT (8.7876653 61.1529386),POINT (14.12456 47.59397)
POINT (8.7876653 61.1529386),POINT (134.755 -24.7761086)
POINT (8.7876653 61.1529386),POINT (44.6736646 40.7696272)
POINT (8.7876653 61.1529386),POINT (-64.9672817 -34.9964963)
POINT (8.7876653 61.1529386),POINT (19.9999619 41.000028)
POINT (8.7876653 61.1529386),POINT (66.2385139 33.7680065)
POINT (8.7876653 61.1529386),POINT (25.3319078 58.7523778)
POINT (8.7876653 61.1529386),POINT (25.9209164 63.2467777)
POINT (8.7876653 61.1529386),POINT (1.8883335 46.603354)
POINT (8.7876653 61.1529386),POINT (-83.1137366 32.3293809)
