ParticipantID,GroupID,Group,Technique,Question,Task,Training,Answer,Time
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q2,4,False,Ireland,6.45
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q2,5,False,Ireland,7.328
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q2,6,False,England,4.596
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q2,7,False,Ireland,5.31
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q2,8,False,England,9.479
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,1,True,Hannover - Leipzig,2.286
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,2,True,Hannover - Leipzig,2.309
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,3,False,Hannover - Leipzig,2.557
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,4,False,Hannover - Leipzig,2.028
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,5,False,Hannover - Leipzig,3.014
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,6,False,Hannover - Leipzig,11.802
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,7,False,Hamburg - Berlin,2.672
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q3,8,False,Hamburg - Berlin,2.192
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,1,True,Germany - Poland,2.048
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,2,True,Spain - France,2.074
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,3,False,Spain - France,3.415
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,4,False,Germany - Poland,1.802
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,5,False,Germany - Poland,3.201
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,6,False,Germany - Poland,2.984
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,7,False,Spain - France,3.72
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Grid,Q4,8,False,Spain - France,3.151
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,1,True,Munich,3.438
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,2,True,Leipzig,2.081
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,3,False,Munich,3.684
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,4,False,Hanover,2.812
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,5,False,Stuttgart,2.415
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,6,False,Stuttgart,2.277
R_2PLPBmGUUIlOqfT,1,"Stacked,Grid,Circular,Sunflower",Circular,Q1,7,False,Hanover,3.668
